id,value
1,23.777827012345757
2,23.673054360532134
3,81.41437471301464
4,60.93256853075711
5,27.576382463210344
6,45.23505134347129
7,43.263007005249314
8,5.004472284269285
9,9.67266576840351
10,30.378316745248988
11,44.31847802493303
12,36.95447882567455
13,39.1159485205067
14,61.43033425888931
15,28.519988155297256
16,34.38192798616494
17,19.459822575388994
18,18.464428057647517
19,25.813358289508916
20,31.90462875055202
21,10.23521708771051
22,18.283563587725553
23,1.1188925507172598
24,4.731467065878337
25,6.508024838598572
26,18.66363428625608
27,4.196530250436689
28,12.624855703436554
29,8.916107339579066
30,15.02883998958819
31,30.472405559383137
32,22.827860251484573
33,15.593725854150483
34,24.00172784240153
35,17.834768684526892
36,12.578819022234036
37,18.998554150263963
38,2.674613330974155
39,6.304164399088966
40,5.4198220111101305
41,16.25329048949376
42,31.523076331932714
43,31.794281578807876
44,32.217303627986404
45,16.392804807541808
46,16.42431161258354
47,16.73856123525296
48,28.87438437734903
49,33.18761465030358
50,26.594215822477665
51,3.3468854393074703
52,7.8558022384462785
53,11.647731138669833
54,16.6681513296078
55,21.969372925839707
56,27.397739464038533
57,9.853200705429535
58,24.90522910912042
59,8.58494268380376
60,22.747950156966745
